,Open_adj,High_adj,Low_adj,Close_adj,Volume,Open_interest,Contract
22/2/2021,71872.96223,75117.61504,71772.61214,75117.61504,296364,151769,2104
23/2/2021,74426.31444,76700.91641,74058.36412,75764.3156,467269,153964,2104
24/2/2021,75318.31521,76801.2665,74214.46426,75719.71556,454424,153444,2104
25/2/2021,76254.91603,78875.16829,75708.56555,78217.31772,403093,154200,2104
26/2/2021,78139.26766,78540.668,75753.16559,75764.3156,422027,140997,2104
1/3/2021,75173.36509,75942.71575,74548.96455,75206.81512,334847,127886,2104
2/3/2021,75162.21508,75385.21527,73289.01346,74459.76447,242399,120945,2104
3/3/2021,75429.81531,76266.06603,74983.81492,75608.21547,195794,118873,2104
4/3/2021,75407.51529,75407.51529,74069.51413,74102.96416,168654,115913,2104
5/3/2021,72620.01288,74036.0641,71594.21199,73500.86364,295735,109217,2104
8/3/2021,73958.01404,75073.015,73210.96339,73333.6135,185050,105830,2104
9/3/2021,73813.06391,75217.96513,73266.71344,73590.06372,175033,100111,2104
10/3/2021,73679.26379,73924.56401,72463.91274,72843.01307,126745,93391,2104
11/3/2021,73311.31348,75396.36528,72843.01307,74972.66491,103906,91821,2104
12/3/2021,74928.06488,75084.16501,74114.11417,74459.76447,76566,89642,2104
15/3/2021,74136.41419,75886.96571,74136.41419,75151.06507,62530,85359,2104
16/3/2021,75318.31521,75374.06526,74225.61427,74292.51433,50754,79530,2104
17/3/2021,74036.0641,74682.76466,73679.26379,74537.81454,50266,75611,2104
18/3/2021,74470.91448,75273.71518,74203.31425,74482.06449,44906,72445,2104
19/3/2021,74615.86461,75006.11494,73054.86325,73500.86364,64027,71786,2104
22/3/2021,74013.76408,75039.56497,73746.16385,74359.41438,51326,68121,2104
23/3/2021,74604.31066,75383.52608,73891.88513,74626.57396,193756,149707,2105
24/3/2021,74303.75614,74481.86252,73557.93567,74003.20162,153428,150834,2105
25/3/2021,74236.96625,74559.78406,72890.03673,72979.08993,191090,154325,2105
26/3/2021,72589.48222,73903.01678,72277.79605,73658.12051,204962,146801,2105
29/3/2021,73780.56864,74470.73087,73546.80402,73847.35854,145770,145045,2105
30/3/2021,73936.41173,74159.0447,73313.03939,73335.30269,128138,143696,2105
31/3/2021,73313.03939,73390.96093,72567.21892,73023.61652,161047,142081,2105
1/4/2021,73190.59125,73346.43434,72389.11254,72455.90243,134908,141971,2105
2/4/2021,72789.85189,74871.47023,72734.19365,74682.2322,192731,128627,2105
6/4/2021,75116.36651,75327.86783,74415.07263,74593.17901,89025,126446,2105
7/4/2021,74593.17901,75038.44496,74303.75614,74470.73087,94176,123324,2105
8/4/2021,74125.64976,74815.81199,73813.96359,74415.07263,120227,117460,2105
9/4/2021,74426.20428,74904.86518,74081.12316,74270.36119,96815,112311,2105
12/4/2021,74437.33593,74515.25747,73079.27476,73123.80136,130994,106706,2105
13/4/2021,73357.56599,73646.98886,73045.87982,73324.17104,83519,104549,2105
14/4/2021,73780.56864,73925.28008,73491.14577,73680.3838,65691,101316,2105
15/4/2021,74248.0979,75706.3439,74092.25481,75561.63246,112188,96151,2105
16/4/2021,75684.0806,77164.5899,75595.02741,76129.34655,100551,86658,2105
19/4/2021,76608.00745,77531.93431,75361.26278,77409.48617,78247,84449,2105
20/4/2021,77342.69628,77442.88112,76619.1391,77064.40506,59377,79338,2105
21/4/2021,76941.95692,77275.90639,76040.29336,76329.71623,54382,73412,2105
22/4/2021,76585.74416,77387.22287,76351.97953,76774.98219,46899,70273,2105
23/4/2021,76919.69362,77431.74947,76496.69096,77075.53671,45975,65906,2105
26/4/2021,77419.62392,78951.36702,77197.63217,78784.87321,247686,189060,2106
27/4/2021,78973.5662,80827.19733,78840.37114,80449.81135,261866,189078,2106
28/4/2021,80083.52496,80338.81548,78873.66991,79184.45836,232329,175636,2106
29/4/2021,79717.23857,80982.59156,79373.15135,80338.81548,197631,175392,2106
30/4/2021,80583.00641,81093.58744,79084.56207,79794.93568,209068,162470,2106
6/5/2021,80150.12249,81382.17672,80116.82372,81293.38002,102105,160057,2106
7/5/2021,81670.766,83191.40951,81504.27218,83135.91157,179927,160182,2106
10/5/2021,83579.89507,86876.47261,83335.70415,86265.99529,281019,151845,2106
11/5/2021,85910.80848,85944.10725,83024.91569,84356.86621,313147,139280,2106
12/5/2021,84356.86621,85633.31879,83990.57982,85566.72126,199333,138657,2106
13/5/2021,84623.25631,85156.03652,83679.79136,84323.56745,244411,132077,2106
14/5/2021,83713.09013,84068.27693,81615.26806,82758.52559,237464,125491,2106
17/5/2021,82536.53383,83568.79549,82358.94043,82969.41775,175719,121419,2106
18/5/2021,82891.72064,84589.95755,82758.52559,84467.86209,137132,119141,2106
19/5/2021,84068.27693,84245.87033,82214.64579,82236.84497,131138,108020,2106
20/5/2021,81493.17259,81981.55445,80083.52496,81526.47136,199583,92135,2106
21/5/2021,81515.37177,81615.26806,79517.44599,79894.83197,121840,81175,2106
24/5/2021,80571.90682,80804.99816,78662.77774,79295.45424,101170,73728,2106
25/5/2021,79473.04764,80749.50022,79428.64929,79972.52908,59082,69630,2106
26/5/2021,79551.79586,79983.60101,79175.35034,79474.29237,152038,129398,2107
27/5/2021,79562.86778,80105.39221,78920.69601,79651.4432,157811,133250,2107
